                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.37646,                0.30394,                0.34155,                0.89331,                0.95416,                0.96296,                0.98029,                0.96069,                0.95416,                0.96296,                0.98029,                0.93272,                0.22602,                0.27749,                0.33226,                0.64001,              0.0008318,              0.0008318,              0.0008318
                     62,                0.36911,                0.28627,                0.33182,                0.89053,                0.93478,                 0.9779,                0.97642,                0.95718,                0.93478,                 0.9779,                0.97642,                0.94364,                0.23419,                0.21573,                0.33081,                 0.6489,               0.000812,               0.000812,               0.000812
                     63,                0.36976,                0.27915,                0.32005,                0.88877,                0.93976,                0.97305,                0.97622,                 0.9564,                0.93976,                0.97305,                0.97622,                0.93776,                 0.2337,                0.20921,                0.30692,                0.63536,              0.0007922,              0.0007922,              0.0007922
                     64,                0.37518,                0.30677,                0.34009,                0.89368,                0.93606,                0.97661,                0.98162,                0.96164,                0.93606,                0.97661,                0.98162,                0.94267,                0.22268,                0.22269,                0.35349,                0.64191,              0.0007724,              0.0007724,              0.0007724
                     65,                0.37119,                0.28657,                0.32415,                0.89378,                0.90675,                0.98441,                0.96983,                  0.952,                0.90675,                0.98441,                0.96983,                0.91931,                0.22536,                0.21672,                0.33936,                0.64321,              0.0007526,              0.0007526,              0.0007526
                     66,                0.36131,                0.28157,                0.32535,                0.88753,                0.94139,                0.97466,                0.98058,                0.96168,                0.94139,                0.97466,                0.98058,                0.93888,                0.22244,                0.20729,                0.31202,                0.64103,              0.0007328,              0.0007328,              0.0007328
                     67,                0.37323,                0.28307,                0.32634,                0.89945,                0.93621,                0.97269,                0.97283,                0.95567,                0.93621,                0.97269,                0.97283,                0.92905,                0.23289,                0.21301,                0.34088,                0.64255,               0.000713,               0.000713,               0.000713
                     68,                0.36106,                0.28503,                0.33158,                0.88826,                 0.9387,                0.97466,                0.97966,                0.96002,                 0.9387,                0.97466,                0.97966,                0.94394,                0.21474,                0.18422,                0.29851,                0.64471,              0.0006932,              0.0006932,              0.0006932
                     69,                0.36167,                0.27315,                0.31671,                0.89372,                0.94079,                0.96881,                0.98159,                0.96301,                0.94079,                0.96881,                0.98159,                0.94509,                0.22484,                0.18568,                0.30704,                0.64354,              0.0006734,              0.0006734,              0.0006734
                     70,                0.36369,                0.28748,                0.32417,                0.88762,                0.93844,                0.97661,                 0.9783,                0.95822,                0.93844,                0.97661,                 0.9783,                0.93983,                0.21554,                0.19296,                0.34933,                  0.635,              0.0006536,              0.0006536,              0.0006536
                     71,                0.36254,                0.26258,                0.32694,                0.88556,                0.93187,                0.97076,                 0.9802,                0.96209,                0.93187,                0.97076,                 0.9802,                0.93901,                0.21725,                0.19804,                 0.3202,                0.63331,              0.0006338,              0.0006338,              0.0006338
                     72,                0.35619,                0.25163,                 0.3165,                0.89515,                0.93143,                 0.9797,                 0.9832,                0.96785,                0.93143,                 0.9797,                 0.9832,                0.95858,                  0.201,                0.19015,                 0.2832,                0.62279,               0.000614,               0.000614,               0.000614
                     73,                0.36643,                0.28524,                0.33038,                0.88304,                0.92674,                0.98441,                0.97715,                0.96451,                0.92674,                0.98441,                0.97715,                0.94761,                0.20194,                0.18688,                0.31845,                0.62378,              0.0005942,              0.0005942,              0.0005942
                     74,                0.35685,                0.27455,                0.31304,                0.88779,                 0.9314,                0.97661,                0.97877,                0.96371,                 0.9314,                0.97661,                0.97877,                0.94297,                0.20422,                0.20389,                0.29458,                0.63147,              0.0005744,              0.0005744,              0.0005744
                     75,                0.36004,                0.25827,                0.31079,                0.89399,                0.94149,                0.97243,                0.98055,                0.96358,                0.94149,                0.97243,                0.98055,                0.94392,                0.21394,                0.21305,                0.32626,                0.63383,              0.0005546,              0.0005546,              0.0005546
                     76,                0.34368,                0.24122,                0.29949,                0.88879,                0.95394,                0.96893,                0.98051,                0.96594,                0.95394,                0.96893,                0.98051,                0.94476,                 0.2027,                0.19045,                0.29616,                0.62976,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.3507,                0.24905,                0.31305,                0.88234,                0.95237,                0.97441,                0.97982,                0.96239,                0.95046,                0.97246,                 0.9796,                0.93998,                 0.2038,                0.20073,                0.27657,                0.63078,               0.000515,               0.000515,               0.000515
                     78,                0.35227,                0.27755,                0.31635,                0.88054,                0.95297,                0.97271,                0.97754,                0.96023,                0.95106,                0.97076,                0.97687,                0.94411,                0.19848,                0.17852,                 0.3104,                0.63236,              0.0004952,              0.0004952,              0.0004952
                     79,                0.35012,                0.24867,                0.30475,                0.88804,                0.94823,                0.97856,                0.98066,                0.96449,                0.94634,                0.97661,                0.98003,                0.94277,                0.19321,                0.20682,                0.28911,                0.62834,              0.0004754,              0.0004754,              0.0004754
                     80,                0.34696,                0.26092,                0.29987,                0.88659,                0.94969,                0.97856,                0.98118,                0.96768,                0.94969,                0.97856,                0.98118,                0.95324,                0.19354,                0.18621,                0.27295,                0.62779,              0.0004556,              0.0004556,              0.0004556
                     81,                0.34679,                0.27306,                0.30527,                0.88476,                0.95205,                0.98635,                0.98334,                0.97084,                0.95205,                0.98635,                0.98334,                0.94849,                 0.1933,                0.19613,                0.26286,                 0.6223,              0.0004358,              0.0004358,              0.0004358
                     82,                0.34047,                0.23968,                0.29667,                 0.8872,                0.94963,                0.97856,                0.98038,                0.96874,                0.94774,                0.97661,                 0.9799,                 0.9473,                0.18651,                0.20015,                  0.277,                0.62331,               0.000416,               0.000416,               0.000416
